Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0603_1608Metric,101.975,-33.325,-90.0,top
C10,22nF,C_0603_1608Metric,112.075,-35.325,0.0,top
C11,22nF,C_0603_1608Metric,108.975,-38.35,0.0,top
C12,22nF,C_0603_1608Metric,105.4,-47.825,0.0,top
C13,0.1uF,C_0603_1608Metric,104.875,-27.72125,180.0,top
C14,0.1uF,C_0603_1608Metric,114.325,-33.75,90.0,top
C15,0.1uF,C_0603_1608Metric,108.225,-40.575,90.0,top
C16,0.1uF,C_0603_1608Metric,104.975,-50.1,90.0,top
C17,10uF,C_0603_1608Metric,112.3,-40.95,0.0,top
C18,1uF,C_0603_1608Metric,120.25,-86.0,90.0,top
C19,10uF,C_0603_1608Metric,125.5,-86.0,90.0,top
C2,22nF,C_0603_1608Metric,113.525,-29.2,0.0,top
C20,1uF,C_0603_1608Metric,128.30625,-82.75,90.0,top
C21,470pF,C_0603_1608Metric,120.75,-81.5,-90.0,top
C22,0.1uF,C_0603_1608Metric,123.44375,-79.0,0.0,top
C23,0.1uF,C_0603_1608Metric,130.325,-47.6,90.0,top
C24,0.1uF,C_0603_1608Metric,130.375,-55.88,90.0,top
C25,0.1uF,C_0603_1608Metric,123.675,-52.75,-90.0,top
C26,22nF,C_0603_1608Metric,105.95,-53.1,-90.0,top
C27,22nF,C_0603_1608Metric,108.65,-68.5,90.0,top
C28,0.1uF,C_0603_1608Metric,104.025,-60.325,0.0,top
C29,0.1uF,C_0603_1608Metric,108.575,-60.075,0.0,top
C30,30pF,C_0603_1608Metric,112.4875,-63.25,180.0,top
C31,30pF,C_0603_1608Metric,112.5,-65.125,180.0,top
C32,30pF,C_0603_1608Metric,101.65,-67.2,-90.0,top
C33,30pF,C_0603_1608Metric,105.65,-70.375,180.0,top
C34,30pF,C_0603_1608Metric,104.5,-57.725,90.0,top
C35,30pF,C_0603_1608Metric,111.65,-60.075,180.0,top
C36,30pF,C_0603_1608Metric,110.825,-50.85,180.0,top
C37,30pF,C_0603_1608Metric,107.825,-50.85,0.0,top
C38,0.1uF,C_0603_1608Metric,109.31,-71.34,0.0,top
C39,0.1uF,C_0603_1608Metric,103.66,-79.33,0.0,top
C4,22nF,C_0603_1608Metric,107.475,-42.825,0.0,top
C40,30pF,C_0603_1608Metric,110.51,-68.89,90.0,top
C41,30pF,C_0603_1608Metric,103.025,-73.0,180.0,top
C42,30pF,C_0603_1608Metric,106.0,-76.6,180.0,top
C43,30pF,C_0603_1608Metric,114.19,-75.5,90.0,top
C44,30pF,C_0603_1608Metric,109.1,-81.475,0.0,top
C45,30pF,C_0603_1608Metric,101.9,-77.7,0.0,top
C46,30pF,C_0603_1608Metric,101.0,-83.0,90.0,top
C47,30pF,C_0603_1608Metric,104.9,-89.2,180.0,top
C48,22nF,C_0603_1608Metric,113.75,-78.5,90.0,top
C49,22nF,C_0603_1608Metric,108.0,-86.3,90.0,top
C5,0.1uF,C_0603_1608Metric,100.2,-29.575,180.0,top
C6,0.1uF,C_0603_1608Metric,109.875,-29.225,180.0,top
C7,0.1uF,C_0603_1608Metric,109.85,-36.1,90.0,top
C8,0.1uF,C_0603_1608Metric,106.725,-45.075,90.0,top
C9,22nF,C_0603_1608Metric,106.875,-29.2,0.0,top
FPC1,AFA07-S16FCC-00,FPC-SMD_16P-P1.00_AFA07-S16FCC-00,97.3225,-44.5,-90.0,top
FPC2,AFA07-S16FCC-00,FPC-SMD_16P-P1.00_AFA07-S16FCC-00,97.3225,-69.97,-90.0,top
H1,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,96.5,-87.5,0.0,top
H2,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,140.0,-29.45,0.0,top
J1,Conn_01x22,PinSocket_1x22_P2.54mm_Vertical,117.365,-61.114,0.0,top
J2,Conn_01x22,PinSocket_1x22_P2.54mm_Vertical,140.225,-61.114,0.0,top
R1,3k9,C_0603_1608Metric,126.75,-79.74,-90.0,top
R10,330R,C_0603_1608Metric,111.525,-61.675,180.0,top
R11,330R,C_0603_1608Metric,110.825,-49.375,180.0,top
R12,330R,C_0603_1608Metric,107.85,-49.375,0.0,top
R13,330R,C_0603_1608Metric,112.0,-69.3,90.0,top
R14,330R,C_0603_1608Metric,106.0,-73.4,0.0,top
R15,330R,C_0603_1608Metric,106.0,-75.0,180.0,top
R16,330R,C_0603_1608Metric,114.2,-72.5,-90.0,top
R17,330R,C_0603_1608Metric,112.1,-81.475,180.0,top
R18,330R,C_0603_1608Metric,101.0,-80.0,90.0,top
R19,330R,C_0603_1608Metric,101.0,-86.0,90.0,top
R2,3k,C_0603_1608Metric,126.75,-82.75,-90.0,top
R20,330R,C_0603_1608Metric,107.9,-88.6,180.0,top
R3,47k,C_0603_1608Metric,121.0,-83.75,180.0,top
R4,10R,C_0603_1608Metric,120.75,-78.5,-90.0,top
R5,330R,C_0603_1608Metric,109.4625,-63.25,0.0,top
R6,330R,C_0603_1608Metric,109.45,-65.1,0.0,top
R7,330R,C_0603_1608Metric,101.65,-64.225,-90.0,top
R8,330R,C_0603_1608Metric,102.645,-70.38,0.0,top
R9,330R,C_0603_1608Metric,105.975,-57.725,90.0,top
TP_FSR_DRIVE0,TestPoint,TestPoint_Keystone_5000-5004_Miniature,95.65,-29.875,0.0,top
TP_FSR_I_OUT0,TestPoint,TestPoint_Keystone_5000-5004_Miniature,99.525,-59.25,0.0,top
TP_SEL0,TestPoint,TestPoint_Keystone_5000-5004_Miniature,135.025,-29.425,0.0,top
TP_SENSE_TIA0,TestPoint,TestPoint_Keystone_5000-5004_Miniature,109.75,-46.95,0.0,top
TP_VG1,TestPoint,TestPoint_Keystone_5000-5004_Miniature,113.0,-88.0,0.0,top
TP_VG2,TestPoint,TestPoint_Keystone_5000-5004_Miniature,103.375,-53.95,0.0,top
U1,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,99.35,-31.42375,180.0,top
U10,TLV9061xDBV,SOT-23-5,123.55625,-81.5,270.0,top
U11,SN74AHC138RGYR,VQFN-16_L4.0-W3.5-P0.50-BL-EP,133.45,-47.5,270.0,top
U12,SN74AHC138RGYR,VQFN-16_L4.0-W3.5-P0.50-BL-EP,133.5,-55.78,270.0,top
U13,SN74LVC1G14DCKR_C19829630,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,126.0,-52.8,0.0,top
U14,TLV9064,TSSOP-14_4.4x5mm_P0.65mm,105.15,-65.0,180.0,top
U15,TLV9064,TSSOP-14_4.4x5mm_P0.65mm,109.5,-55.5,0.0,top
U16,TLV9064,TSSOP-14_4.4x5mm_P0.65mm,110.25,-76.0,180.0,top
U17,TLV9064,TSSOP-14_4.4x5mm_P0.65mm,104.5,-84.0,180.0,top
U2,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,108.75,-30.79875,180.0,top
U3,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,108.17625,-35.4,90.0,top
U4,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,105.02625,-43.85,90.0,top
U5,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,103.725,-29.395,180.0,top
U6,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,112.57625,-32.625,90.0,top
U7,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,106.40125,-39.65,90.0,top
U8,RS2323XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,103.05125,-49.125,90.0,top
U9,TPS7A2033PDBVR,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,123.0,-86.0,90.0,top
